COMPONENT,LINE,PIN,NUCLEO,DESCRIPTION,,,,,
MEMS,,,,,,,,,
,,,,,,,,,
,SCL,PF1,CN9-19,I2C2_SCL,,,,,
,SDA,PF0,CN9-21,I2C2_SCA,,,,,
,GND,,GND,,,,,,
,VIN,,3.3,,,,,,
,VDD,,,"X, output",,,,,
,SA0,,,X,,,,,
,L3D20H,,,1101011,,,,,
,lsm303d,,,0011101,,,,,
,,,,,,,,,
,,,,,,,,,
Motor Driver,,,,,,,,,
,M1INA,PE4,CN9-16,GPIOE-4,,,,,
,M1INB,PE5,CN9-18,GPIOE-5,,,,,
,M1PWM,PB10,CN10-32,TIM2_CH3,,,,,
,M2INA,PE6,CN9-20,GPIOE-6,,,,,
,M2INB,PE3,CN9-22,GPIOE-3,,,,,
,M2PWM,PB11,CN10-34,TIM2_CH4,,,,,
,VDD,,,,,,,,
,GND,,,,,,,,
,,,,,,,,,
Motor Encoders,,,,,,,,,
,M1-A,PC6,CN7-1,TIM3/8_CH1,,,,,
,M1-B,PC7,CN7-11,TIM3/8_CH2,,,,,
,M2-A,PE11,CN10-6,TIM1_CH2,,,,,
,M2-B,PE9,CN10-4,TIM1_CH1,,,,,
